decade,genre,bad word,number of appearance
1930,War,fat,3
1930,War,drunken,1
1930,War,murderer,1
1930,War,kills,1
1930,War,funeral,1
1930,War,poverty,1
1930,War,church,1
1930,War,laid,1
1930,War,kid,1
1930,War,women's,1
1930,War,dumb,1
1930,War,shit,1
1930,War,pot,1
1930,War,damn,1
decade,genre,bad word,number of appearance
1930,Thriller,death,7
1930,Thriller,dirty,3
1930,Thriller,assassinate,2
1930,Thriller,killed,11
1930,Thriller,hole,1
1930,Thriller,nasty,1
1930,Thriller,gin,1
1930,Thriller,shoot,6
1930,Thriller,damn,8
1930,Thriller,terror,2
1930,Thriller,fear,3
1930,Thriller,firing,1
1930,Thriller,blind,2
1930,Thriller,fire,2
1930,Thriller,black,1
1930,Thriller,murderer,14
1930,Thriller,crime,6
1930,Thriller,failure,1
1930,Thriller,criminal,2
1930,Thriller,kid,2
1930,Thriller,kill,9
1930,Thriller,crimes,3
1930,Thriller,sex,2
1930,Thriller,homicide,3
1930,Thriller,killer,2
1930,Thriller,murder,20
1930,Thriller,color,1
1930,Thriller,failed,1
1930,Thriller,hell,6
1930,Thriller,laid,1
1930,Thriller,dead,6
1930,Thriller,dies,2
1930,Thriller,girls,4
1930,Thriller,devil,3
1930,Thriller,cigarette,6
1930,Thriller,crack,1
1930,Thriller,destroy,1
1930,Thriller,sick,1
1930,Thriller,killing,4
1930,Thriller,period,1
1930,Thriller,drunk,1
1930,Thriller,cocktail,2
1930,Thriller,god,1
1930,Thriller,blow,3
1930,Thriller,women's,2
1930,Thriller,angry,1
1930,Thriller,fat,3
1930,Thriller,remains,2
1930,Thriller,died,2
1930,Thriller,pistol,1
1930,Thriller,bombs,1
1930,Thriller,church,1
1930,Thriller,whiskey,2
1930,Thriller,enemy,5
1930,Thriller,shooting,1
1930,Thriller,attack,1
1930,Thriller,explosion,1
1930,Thriller,gross,1
1930,Thriller,bomb,1
1930,Thriller,joint,2
1930,Thriller,knife,2
1930,Thriller,tramp,1
1930,Thriller,coloured,1
1930,Thriller,breast,1
1930,Thriller,conspiracy,1
1930,Thriller,goddamn,1
1930,Thriller,spit,1
1930,Thriller,die,1
1930,Thriller,dumb,1
decade,genre,bad word,number of appearance
1930,Science,nip,1
1930,Science,bombs,2
1930,Science,murder,10
1930,Science,killed,15
1930,Science,mad,6
1930,Science,shoot,5
1930,Science,shooting,2
1930,Science,stupid,5
1930,Science,conspiracy,1
1930,Science,attack,1
1930,Science,remains,1
1930,Science,bombing,1
1930,Science,kills,3
1930,Science,black,10
1930,Science,hostage,1
1930,Science,enemy,1
1930,Science,fight,4
1930,Science,dead,24
1930,Science,devil,2
1930,Science,gun,5
1930,Science,destroy,7
1930,Science,sick,1
1930,Science,lies,6
1930,Science,death,13
1930,Science,snatch,1
1930,Science,killer,1
1930,Science,burn,2
1930,Science,criminal,3
1930,Science,aroused,1
1930,Science,fear,5
1930,Science,kill,13
1930,Science,cemetery,1
1930,Science,spit,1
1930,Science,gay,1
1930,Science,boom,1
1930,Science,laid,4
1930,Science,faith,3
1930,Science,disturbed,2
1930,Science,buried,1
1930,Science,fire,8
1930,Science,queer,1
1930,Science,drug,1
1930,Science,disease,1
1930,Science,hell,1
1930,Science,dirty,3
1930,Science,terror,1
1930,Science,naked,1
1930,Science,nasty,2
1930,Science,die,5
1930,Science,desire,6
1930,Science,fat,1
1930,Science,fairy,7
1930,Science,killing,2
1930,Science,chink,1
1930,Science,cock,3
1930,Science,servant,1
1930,Science,color,2
1930,Science,ass,2
1930,Science,fairies,1
1930,Science,peck,1
1930,Science,tongue,3
1930,Science,hole,2
1930,Science,breast,2
1930,Science,violence,1
1930,Science,girls,1
1930,Science,prick,1
1930,Science,knife,1
1930,Science,blow,1
decade,genre,bad word,number of appearance
1930,Romance,fire,40
1930,Romance,girls,53
1930,Romance,stupid,19
1930,Romance,balls,7
1930,Romance,shoot,41
1930,Romance,shooting,12
1930,Romance,cock,4
1930,Romance,fight,45
1930,Romance,killed,37
1930,Romance,dirty,22
1930,Romance,mad,27
1930,Romance,kid,16
1930,Romance,hole,9
1930,Romance,burn,22
1930,Romance,firing,4
1930,Romance,sucker,10
1930,Romance,sick,40
1930,Romance,crash,2
1930,Romance,diddle,1
1930,Romance,kills,5
1930,Romance,destroy,13
1930,Romance,faith,8
1930,Romance,scum,2
1930,Romance,idiot,5
1930,Romance,church,6
1930,Romance,desire,9
1930,Romance,devil,17
1930,Romance,liberal,1
1930,Romance,blind,4
1930,Romance,escort,8
1930,Romance,god,4
1930,Romance,attack,7
1930,Romance,failed,7
1930,Romance,murderer,3
1930,Romance,servant,5
1930,Romance,death,35
1930,Romance,crime,11
1930,Romance,angry,10
1930,Romance,die,32
1930,Romance,buried,8
1930,Romance,torture,4
1930,Romance,killing,14
1930,Romance,executed,1
1930,Romance,kill,72
1930,Romance,fear,17
1930,Romance,aroused,2
1930,Romance,demon,1
1930,Romance,children's,3
1930,Romance,disturbed,7
1930,Romance,fairy,10
1930,Romance,knife,16
1930,Romance,whites,2
1930,Romance,gun,16
1930,Romance,dead,48
1930,Romance,nasty,13
1930,Romance,tongue,8
1930,Romance,blow,16
1930,Romance,nipple,1
1930,Romance,lies,9
1930,Romance,chin,9
1930,Romance,cigarette,7
1930,Romance,boom,1
1930,Romance,black,25
1930,Romance,smack,3
1930,Romance,gay,12
1930,Romance,drug,2
1930,Romance,criminal,6
1930,Romance,puss,1
1930,Romance,color,7
1930,Romance,booby,1
1930,Romance,funeral,7
1930,Romance,swallow,2
1930,Romance,breast,4
1930,Romance,fat,15
1930,Romance,stroke,3
1930,Romance,bigger,7
1930,Romance,hook,7
1930,Romance,babies,5
1930,Romance,spit,3
1930,Romance,suicide,1
1930,Romance,crack,13
1930,Romance,drunken,5
1930,Romance,itch,1
1930,Romance,bomb,1
1930,Romance,died,13
1930,Romance,tinkle,1
1930,Romance,amateur,1
1930,Romance,failure,9
1930,Romance,drunk,18
1930,Romance,radical,1
1930,Romance,dumb,12
1930,Romance,horn,1
1930,Romance,hell,7
1930,Romance,abuse,1
1930,Romance,spank,2
1930,Romance,welfare,1
1930,Romance,laid,14
1930,Romance,slave,6
1930,Romance,murder,5
1930,Romance,jade,2
1930,Romance,joint,7
1930,Romance,sob,2
1930,Romance,remains,3
1930,Romance,suck,1
1930,Romance,refugee,1
1930,Romance,muff,1
1930,Romance,poverty,1
1930,Romance,screw,2
1930,Romance,squaw,1
1930,Romance,liquor,5
1930,Romance,butt,1
1930,Romance,damn,5
1930,Romance,sexed,1
1930,Romance,gin,2
1930,Romance,cum,1
1930,Romance,conspiracy,1
1930,Romance,nude,1
1930,Romance,women's,5
1930,Romance,dies,8
1930,Romance,cocktail,3
1930,Romance,deposit,1
1930,Romance,execution,3
1930,Romance,conservative,1
1930,Romance,sex,7
1930,Romance,snatch,2
1930,Romance,pot,3
1930,Romance,criminals,1
1930,Romance,harder,3
1930,Romance,crimes,3
1930,Romance,whiskey,4
1930,Romance,queer,8
1930,Romance,boner,1
1930,Romance,hobo,1
1930,Romance,gob,1
1930,Romance,banging,1
1930,Romance,pistol,1
1930,Romance,ho,1
1930,Romance,robber,1
1930,Romance,enemy,1
1930,Romance,nip,1
1930,Romance,killer,1
1930,Romance,execute,1
1930,Romance,chink,1
1930,Romance,ass,3
1930,Romance,fairies,1
1930,Romance,peck,1
1930,Romance,propaganda,2
1930,Romance,darky,1
1930,Romance,period,1
decade,genre,bad word,number of appearance
1930,Mystery,church,1
1930,Mystery,kill,32
1930,Mystery,gin,1
1930,Mystery,died,3
1930,Mystery,fight,2
1930,Mystery,killed,39
1930,Mystery,gun,13
1930,Mystery,dead,10
1930,Mystery,kid,4
1930,Mystery,gay,1
1930,Mystery,dirty,4
1930,Mystery,pistol,1
1930,Mystery,shooting,3
1930,Mystery,murder,23
1930,Mystery,fire,5
1930,Mystery,black,3
1930,Mystery,dumb,4
1930,Mystery,blow,8
1930,Mystery,swallow,2
1930,Mystery,buried,5
1930,Mystery,murderer,8
1930,Mystery,fat,5
1930,Mystery,enemy,3
1930,Mystery,knife,5
1930,Mystery,crime,5
1930,Mystery,period,1
1930,Mystery,crimes,2
1930,Mystery,drunk,1
1930,Mystery,death,10
1930,Mystery,cocktail,2
1930,Mystery,god,1
1930,Mystery,hell,4
1930,Mystery,women's,2
1930,Mystery,angry,1
1930,Mystery,cigarette,4
1930,Mystery,remains,2
1930,Mystery,burn,1
1930,Mystery,destroy,1
1930,Mystery,shoot,5
1930,Mystery,puss,1
1930,Mystery,die,6
1930,Mystery,mad,4
1930,Mystery,desire,1
1930,Mystery,crash,1
1930,Mystery,doom,1
1930,Mystery,orgy,2
1930,Mystery,devil,3
1930,Mystery,torture,2
1930,Mystery,lies,1
1930,Mystery,bombs,1
1930,Mystery,fear,2
1930,Mystery,killing,4
1930,Mystery,attack,1
1930,Mystery,explosion,1
1930,Mystery,gross,1
1930,Mystery,bomb,1
1930,Mystery,joint,3
1930,Mystery,sex,1
1930,Mystery,tramp,1
1930,Mystery,coloured,1
1930,Mystery,breast,1
1930,Mystery,conspiracy,1
1930,Mystery,whiskey,2
1930,Mystery,girls,2
1930,Mystery,stupid,2
1930,Mystery,smack,1
1930,Mystery,pot,2
1930,Mystery,tongue,1
1930,Mystery,kills,1
1930,Mystery,deposit,1
1930,Mystery,criminal,1
1930,Mystery,sick,5
1930,Mystery,color,1
1930,Mystery,funeral,1
1930,Mystery,goddamn,1
1930,Mystery,damn,1
1930,Mystery,spit,1
decade,genre,bad word,number of appearance
1930,Music,chin,5
1930,Music,cigarette,3
1930,Music,crime,4
1930,Music,shoot,2
1930,Music,boom,1
1930,Music,servant,1
1930,Music,church,3
1930,Music,angry,4
1930,Music,fire,10
1930,Music,attack,3
1930,Music,kill,10
1930,Music,disturbed,1
1930,Music,fear,4
1930,Music,breast,1
1930,Music,drunken,1
1930,Music,mad,8
1930,Music,kid,6
1930,Music,dirty,2
1930,Music,stupid,2
1930,Music,radical,1
1930,Music,dumb,9
1930,Music,sick,10
1930,Music,black,7
1930,Music,escort,1
1930,Music,die,1
1930,Music,girls,22
1930,Music,kills,1
1930,Music,dead,5
1930,Music,gay,1
1930,Music,horn,1
1930,Music,butt,1
1930,Music,criminal,2
1930,Music,blow,3
1930,Music,sucker,3
1930,Music,funeral,1
1930,Music,nude,1
1930,Music,women's,5
1930,Music,fight,4
1930,Music,knife,2
1930,Music,spank,3
1930,Music,destroy,2
1930,Music,remains,1
1930,Music,nasty,1
1930,Music,blind,2
1930,Music,dies,2
1930,Music,gun,1
1930,Music,cocktail,1
1930,Music,crack,2
1930,Music,fat,2
1930,Music,fairies,1
1930,Music,fairy,1
1930,Music,joint,1
1930,Music,died,1
1930,Music,burn,1
1930,Music,sex,3
1930,Music,beast,2
1930,Music,virgin,1
1930,Music,death,2
1930,Music,failure,1
1930,Music,killed,1
1930,Music,buried,1
1930,Music,drunk,3
1930,Music,devil,1
1930,Music,stroke,1
1930,Music,idiot,1
1930,Music,crimes,1
1930,Music,lies,1
decade,genre,bad word,number of appearance
1930,Horror,dead,34
1930,Horror,fat,1
1930,Horror,death,16
1930,Horror,die,8
1930,Horror,damn,1
1930,Horror,kill,22
1930,Horror,dies,2
1930,Horror,torture,3
1930,Horror,killing,4
1930,Horror,killed,23
1930,Horror,kills,2
1930,Horror,destroy,14
1930,Horror,faith,4
1930,Horror,scum,1
1930,Horror,idiot,1
1930,Horror,church,1
1930,Horror,desire,2
1930,Horror,devil,6
1930,Horror,fire,8
1930,Horror,liberal,1
1930,Horror,blind,1
1930,Horror,girls,4
1930,Horror,escort,1
1930,Horror,god,2
1930,Horror,attack,2
1930,Horror,failed,3
1930,Horror,murderer,1
1930,Horror,servant,2
1930,Horror,crime,3
1930,Horror,angry,3
1930,Horror,buried,8
1930,Horror,stupid,4
1930,Horror,executed,2
1930,Horror,fight,3
1930,Horror,fear,5
1930,Horror,aroused,2
1930,Horror,demon,1
1930,Horror,knife,2
1930,Horror,died,4
1930,Horror,execution,1
1930,Horror,gay,3
1930,Horror,hole,1
1930,Horror,dirty,4
1930,Horror,toilet,2
1930,Horror,virgin,1
1930,Horror,burn,5
1930,Horror,period,1
1930,Horror,funeral,1
1930,Horror,terror,2
1930,Horror,kid,2
1930,Horror,chin,1
1930,Horror,mad,6
1930,Horror,drunken,1
1930,Horror,shooting,1
1930,Horror,bomb,1
1930,Horror,geezer,1
1930,Horror,shoot,4
1930,Horror,black,4
1930,Horror,lies,4
1930,Horror,killer,1
1930,Horror,criminal,3
1930,Horror,gun,2
1930,Horror,murder,10
1930,Horror,cemetery,1
1930,Horror,spit,1
1930,Horror,boom,1
1930,Horror,laid,2
1930,Horror,disturbed,2
1930,Horror,queer,1
1930,Horror,drug,1
1930,Horror,disease,1
1930,Horror,hell,2
1930,Horror,naked,1
1930,Horror,nasty,2
1930,Horror,fairy,1
1930,Horror,sick,1
1930,Horror,violence,1
1930,Horror,color,1
1930,Horror,prick,1
1930,Horror,tongue,1
1930,Horror,blow,1
decade,genre,bad word,number of appearance
1930,History,escort,1
1930,History,desire,3
1930,History,color,1
1930,History,disturbed,2
1930,History,children's,1
1930,History,devil,4
1930,History,death,7
1930,History,blow,5
1930,History,fear,4
1930,History,destroy,3
1930,History,die,9
1930,History,enemy,8
1930,History,fight,14
1930,History,slaughter,1
1930,History,killed,8
1930,History,harder,1
1930,History,kill,8
1930,History,assault,1
1930,History,attack,1
1930,History,died,4
1930,History,chin,2
1930,History,gay,1
1930,History,hell,4
1930,History,spit,2
1930,History,bigger,1
1930,History,failed,3
1930,History,gun,1
1930,History,hook,2
1930,History,drunk,2
1930,History,stupid,1
1930,History,abuse,1
1930,History,spank,2
1930,History,dead,4
1930,History,sick,6
1930,History,drunken,1
1930,History,welfare,2
1930,History,shoot,2
1930,History,tongue,1
1930,History,dirty,2
1930,History,aroused,1
1930,History,lies,2
1930,History,burn,5
1930,History,fire,1
1930,History,kid,1
1930,History,nasty,1
1930,History,women's,1
1930,History,dumb,1
1930,History,shit,1
1930,History,mad,1
1930,History,pot,1
1930,History,damn,1
1930,History,black,1
1930,History,faith,5
1930,History,virgin,1
1930,History,crime,1
1930,History,blind,2
1930,History,murder,2
1930,History,knife,1
decade,genre,bad word,number of appearance
1930,Fantasy,angry,2
1930,Fantasy,idiot,1
1930,Fantasy,buried,4
1930,Fantasy,dead,17
1930,Fantasy,died,5
1930,Fantasy,fire,6
1930,Fantasy,welfare,1
1930,Fantasy,stroke,2
1930,Fantasy,black,9
1930,Fantasy,horn,1
1930,Fantasy,nasty,2
1930,Fantasy,remains,3
1930,Fantasy,death,12
1930,Fantasy,stupid,2
1930,Fantasy,spit,1
1930,Fantasy,erect,1
1930,Fantasy,attack,1
1930,Fantasy,itch,1
1930,Fantasy,killed,7
1930,Fantasy,kill,11
1930,Fantasy,enemy,4
1930,Fantasy,whiz,4
1930,Fantasy,mad,4
1930,Fantasy,fight,6
1930,Fantasy,sissy,1
1930,Fantasy,color,2
1930,Fantasy,kills,2
1930,Fantasy,destroy,2
1930,Fantasy,bigger,1
1930,Fantasy,failed,1
1930,Fantasy,doom,2
1930,Fantasy,desire,7
1930,Fantasy,drunk,1
1930,Fantasy,blind,1
1930,Fantasy,chink,2
1930,Fantasy,dirty,4
1930,Fantasy,robber,1
1930,Fantasy,blow,3
1930,Fantasy,adult,2
1930,Fantasy,crime,3
1930,Fantasy,execute,2
1930,Fantasy,drunken,1
1930,Fantasy,fear,6
1930,Fantasy,execution,1
1930,Fantasy,sick,2
1930,Fantasy,murder,1
1930,Fantasy,harder,1
1930,Fantasy,fat,2
1930,Fantasy,girls,1
1930,Fantasy,servant,3
1930,Fantasy,faith,2
1930,Fantasy,crack,1
1930,Fantasy,burn,1
1930,Fantasy,shoot,1
1930,Fantasy,puss,1
1930,Fantasy,die,6
1930,Fantasy,kid,1
1930,Fantasy,crash,1
1930,Fantasy,orgy,2
1930,Fantasy,devil,1
1930,Fantasy,torture,1
1930,Fantasy,lies,5
1930,Fantasy,swallow,1
1930,Fantasy,bombs,1
1930,Fantasy,fairy,7
1930,Fantasy,laid,2
1930,Fantasy,killing,1
1930,Fantasy,cock,3
1930,Fantasy,ass,2
1930,Fantasy,fairies,1
1930,Fantasy,peck,1
1930,Fantasy,tongue,2
1930,Fantasy,hole,2
1930,Fantasy,breast,2
1930,Fantasy,dumb,2
