score,bad word,number of appearance
4,whiz,1
4,shithead,1
4,slant,1
4,quim,1
4,sniggers,2
4,enema,1
4,fucker,1
4,threesome,1
4,backseat,1
4,penises,1
4,conservative,2
score,bad word,number of appearance
5,die,542
5,killer,112
5,knife,99
5,funeral,58
5,kill,1867
5,hell,1897
5,fuck,929
5,fucker,17
5,fucking,1190
5,died,349
5,devil,129
5,damn,871
5,bullshit,87
5,killed,1110
5,kid,472
5,spit,71
5,ass,488
5,death,408
5,butt,96
5,dumb,146
5,blowjob,3
5,fear,162
5,fight,496
5,period,49
5,burn,176
5,angry,88
5,vomit,12
5,screw,116
5,mad,223
5,dead,707
5,fat,171
5,crotch,7
5,shit,722
5,retard,8
5,church,121
5,dirty,218
5,sick,341
5,killing,259
5,stupid,342
5,blind,112
5,buried,91
5,babies,64
5,attack,148
5,queer,19
5,fire,449
5,nip,7
5,gin,24
5,swallow,26
5,bigger,178
5,slaughter,11
5,remains,45
5,scum,15
5,pistol,30
5,shoot,449
5,execution,15
5,bong,4
5,piss,78
5,hook,79
5,transsexual,4
5,oral,16
5,drug,148
5,criminals,23
5,sexy,69
5,black,470
5,gay,91
5,destroy,224
5,hole,137
5,bitch,180
5,girls,501
5,women's,38
5,drunk,157
5,blow,395
5,joint,59
5,desire,74
5,disease,31
5,faith,95
5,crime,111
5,demon,43
5,crap,75
5,gun,403
5,welfare,23
5,cancer,14
5,goddamn,504
5,horn,38
5,sucker,41
5,explosion,26
5,sex,320
5,dive,37
5,laid,139
5,wop,10
5,boom,12
5,ho,30
5,toilet,40
5,tongue,52
5,balls,96
5,porno,11
5,refugee,8
5,deposit,30
5,illegal,42
5,slut,13
5,boob,2
5,torture,31
5,cocktail,20
5,sexually,18
5,hobo,1
5,color,90
5,idiot,68
5,crack,78
5,roach,8
5,dope,26
5,shooting,119
5,pissing,22
5,suck,77
5,motherfucking,52
5,heroin,14
5,pros,7
5,titties,13
5,asses,38
5,homicide,12
5,shitting,26
5,assholes,22
5,nipple,7
5,masturbating,4
5,masturbate,3
5,god,59
5,bombs,27
5,enemy,117
5,whiskey,42
5,fairy,80
5,conservative,6
5,firing,53
5,beast,47
5,blackout,7
5,escort,27
5,asshole,65
5,sexual,91
5,servant,20
5,niggers,15
5,naked,96
5,fucked,160
5,dick,83
5,penises,4
5,tits,25
5,fart,18
5,pubic,7
5,booty,7
5,drunken,30
5,puke,9
5,crash,62
5,virgin,34
5,moron,8
5,hijack,6
5,shitted,6
5,tit,11
5,gook,3
5,murder,194
5,murderer,36
5,penis,22
5,rape,43
5,erection,4
5,lies,92
5,violence,43
5,slave,61
5,adult,27
5,minority,4
5,colored,20
5,gross,30
5,breast,20
5,stroke,18
5,catholic,6
5,protestant,1
5,uterus,6
5,radical,8
5,pissed,118
5,shag,7
5,panties,17
5,sperm,17
5,nasty,62
5,disturbed,22
5,hijacking,3
5,assassin,10
5,kills,76
5,gringo,8
5,pecker,6
5,criminal,64
5,snatch,15
5,bitches,24
5,nigga,11
5,pimp,15
5,whorehouse,4
5,faeces,1
5,assassinate,3
5,crimes,27
5,pee,29
5,lesbian,10
5,skank,5
5,hooker,11
5,whore,28
5,pot,44
5,corruption,12
5,spank,10
5,abuse,29
5,homo,4
5,fairies,4
5,racial,8
5,cemetery,20
5,pooping,1
5,crappy,8
5,kink,1
5,poop,9
5,urinate,5
5,failed,64
5,prick,13
5,shithead,1
5,porn,18
5,weapon,68
5,honk,5
5,lotion,22
5,fraud,11
5,bombing,11
5,sob,5
5,snot,11
5,sniper,7
5,dies,38
5,bomb,83
5,assault,27
5,babe,15
5,reject,16
5,suicide,37
5,nude,13
5,lowlife,5
5,bra,18
5,communist,8
5,children's,25
5,fore,2
5,bitching,3
5,pussy,33
5,booby,4
5,liquor,29
5,tramp,14
5,failure,28
5,horny,16
5,racist,9
5,nigger,23
5,cock,23
5,marijuana,7
5,motherfucker,48
5,shitter,2
5,cigarette,37
5,titty,16
5,doo-doo,2
5,turd,12
5,banging,28
5,smack,31
5,hostage,12
5,shits,11
5,raped,52
5,hustler,3
5,dickhead,2
5,retarded,5
5,harder,57
5,poo,9
5,terror,16
5,peck,3
5,ethnic,6
5,urinary,2
5,aroused,9
5,geezer,5
5,fuckers,4
5,conspiracy,14
5,orgy,7
5,greaseball,1
5,cocaine,8
5,assassination,7
5,crabs,2
5,commie,2
5,transvestite,3
5,goddamned,17
5,cum,12
5,fucks,13
5,loser,29
5,execute,9
5,liberal,11
5,playboy,4
5,amateur,21
5,diseases,11
5,urine,12
5,boobs,15
5,pussies,1
5,jeez,2
5,chin,29
5,poverty,7
5,terrorist,22
5,executioner,4
5,dink,2
5,itch,10
5,feces,1
5,limey,4
5,bugger,3
5,robber,7
5,backseat,4
5,sluts,4
5,bestial,1
5,slime,4
5,nuke,7
5,prostitute,3
5,fatso,1
5,kumquat,1
5,slant,3
5,bible,3
5,brothel,3
5,jade,2
5,whiz,6
5,weenie,6
5,fag,14
5,arse,9
5,nigger's,2
5,negroes,1
5,horseshit,4
5,boobies,1
5,herpes,2
5,blacks,4
5,latin,2
5,jerkoff,2
5,orgasm,5
5,motherfuck,1
5,bohunk,2
5,jizz,3
5,shithouse,6
5,squaw,6
5,coloured,2
5,hummer,2
5,incest,6
5,damnation,1
5,reefer,2
5,jugs,2
5,hillbillies,1
5,whites,7
5,foursome,5
5,doom,4
5,faggot,5
5,jackass,6
5,hussy,2
5,molest,4
5,anus,1
5,hookers,12
5,arsehole,2
5,wank,2
5,whacker,1
5,orgies,1
5,excrement,1
5,muff,3
5,pansies,1
5,boner,6
5,rump,3
5,lingerie,4
5,kinky,6
5,intercourse,5
5,rabbi,10
5,gypo,1
5,homosexual,2
5,arab,1
5,lynch,4
5,bitchy,3
5,tinkle,1
5,semen,6
5,copulate,2
5,dumbass,3
5,shat,2
5,beaver,3
5,japanese,4
5,fuc,1
5,hijacker,3
5,vaginal,1
5,anal,5
5,whitey,1
5,premature,5
5,fetish,2
5,barf,2
5,vagina,5
5,nookie,5
5,dyke,2
5,cumming,1
5,clit,3
5,biatch,1
5,primetime,1
5,slimeball,1
5,harem,4
5,stringer,1
5,propaganda,3
5,jesus,4
5,chinese,1
5,american,21
5,penile,2
5,heterosexual,4
5,condom,2
5,bi,2
5,defecate,1
5,sodomize,2
5,rapist,2
5,showtime,6
5,perv,1
5,buggered,1
5,honky,5
5,pansy,2
5,jism,1
5,creamy,3
5,fu,4
5,sissy,3
5,cocky,4
5,sweetness,4
5,bombers,1
5,kraut,1
5,slutty,1
5,pee-pee,1
5,cocktease,1
5,taboo,1
5,pimped,1
5,meth,1
5,crapper,1
5,executed,7
5,mofo,1
5,jiggy,1
5,mexican,2
5,negro,2
5,vibrator,2
5,husky,1
5,quickie,1
5,sooty,1
5,testicles,3
5,cunt,10
5,coon,8
5,european,2
5,gangsta,1
5,scrotum,1
5,addicts,2
5,henhouse,1
5,stroking,1
5,erect,1
5,uk,1
5,dipshit,2
5,ejaculated,1
5,scat,1
5,hebe,2
5,spunk,1
5,foreskin,1
5,willy,1
5,abortion,2
5,twat,1
5,penthouse,4
5,coolie,1
5,headlights,4
5,poon,1
5,jewish,1
5,chink,2
5,shagging,9
5,tosser,1
5,pornography,2
5,bondage,1
5,nazi,1
5,sonofabitch,3
5,shitfaced,1
5,wanking,2
5,sexed,1
5,cocksucker,1
5,lesbo,1
5,testicle,1
5,asswipe,1
5,fungus,1
5,nook,1
5,ginzo,1
5,darky,1
5,alla,3
5,radicals,1
5,spic,1
5,raghead,2
5,pussycat,2
5,randy,1
5,addict,1
5,diddle,1
5,backdoor,1
score,bad word,number of appearance
6,dead,1566
6,shoot,1084
6,killer,156
6,died,781
6,fire,1041
6,black,1115
6,corruption,24
6,murder,505
6,screw,170
6,god,186
6,shit,1189
6,transvestite,5
6,hell,3462
6,goddamned,69
6,weapon,163
6,dope,82
6,heroin,34
6,dirty,479
6,sex,379
6,sick,774
6,killed,2129
6,toilet,88
6,killing,544
6,kill,3762
6,criminal,177
6,swallow,83
6,crime,293
6,destroy,530
6,explosion,64
6,kid,969
6,enemy,349
6,drug,272
6,mad,521
6,homicide,20
6,fight,1269
6,mexican,2
6,kills,158
6,bible,5
6,bullshit,142
6,piss,158
6,pissed,135
6,attack,372
6,scum,46
6,gun,843
6,goddamn,1158
6,bitch,366
6,shooting,382
6,angry,255
6,fairy,115
6,harder,161
6,babies,141
6,nasty,156
6,bigger,378
6,failed,162
6,fucking,3019
6,girls,1104
6,vagina,12
6,shag,17
6,cigarette,115
6,amateur,63
6,sexual,191
6,tongue,152
6,conservative,22
6,women's,92
6,refugee,9
6,damn,1737
6,fucks,48
6,fucked,306
6,balls,186
6,funeral,135
6,fuck,1722
6,arse,19
6,drunk,311
6,gay,214
6,marijuana,21
6,blow,860
6,death,988
6,suck,127
6,boob,12
6,fear,492
6,gin,79
6,sissy,15
6,dumb,334
6,ho,59
6,whites,20
6,tits,52
6,devil,296
6,asshole,133
6,asses,63
6,ass,1001
6,urinate,7
6,violence,74
6,die,1251
6,hole,344
6,nip,30
6,bombs,116
6,stupid,749
6,conspiracy,36
6,remains,151
6,bombing,42
6,hostage,46
6,lies,280
6,snatch,24
6,welfare,83
6,laid,294
6,kotex,1
6,boobs,14
6,buried,313
6,fat,483
6,chinese,3
6,colored,80
6,burn,416
6,crack,222
6,bomb,320
6,testicle,6
6,itch,18
6,adult,68
6,crash,129
6,joint,134
6,bong,7
6,cock,44
6,illegal,114
6,porn,15
6,loser,56
6,pee,42
6,sucker,79
6,faith,253
6,blind,293
6,hijack,4
6,nuke,15
6,execute,24
6,terrorist,42
6,disturbed,64
6,period,104
6,desire,192
6,suicide,98
6,semen,5
6,banging,38
6,escort,108
6,disease,82
6,retarded,12
6,bitches,57
6,idiot,150
6,whiskey,116
6,firing,127
6,hook,178
6,spic,5
6,color,196
6,knife,216
6,church,350
6,pot,126
6,squaw,16
6,beast,119
6,cocktail,76
6,stroke,85
6,snigger,1
6,beaver,16
6,hijacking,4
6,faggot,17
6,hookers,6
6,liquor,92
6,butt,158
6,lynch,12
6,whore,68
6,servant,85
6,diseases,12
6,slave,113
6,twink,1
6,spit,148
6,slaughter,25
6,terror,61
6,naked,192
6,criminals,33
6,pornography,7
6,children's,68
6,lingerie,7
6,drunken,69
6,tramp,22
6,breast,46
6,sexy,93
6,slut,12
6,virgin,42
6,dies,84
6,slutty,4
6,homosexual,21
6,pissing,43
6,skank,3
6,fondle,13
6,backdoor,3
6,bitching,7
6,shitting,32
6,narcotic,5
6,assault,62
6,tang,5
6,assassinate,15
6,crimes,52
6,moron,15
6,gob,5
6,asswipe,1
6,horny,28
6,fart,30
6,horn,63
6,babe,50
6,demon,34
6,liberal,35
6,kike,3
6,coon,13
6,nigger,95
6,reject,52
6,gross,40
6,sperm,18
6,racist,15
6,assholes,58
6,minority,13
6,whitey,3
6,turd,18
6,vaginal,2
6,crap,170
6,smack,57
6,jew,5
6,rape,78
6,bisexual,2
6,communist,21
6,queer,45
6,dick,108
6,redneck,14
6,prick,40
6,raped,60
6,puke,24
6,wanker,3
6,fuckin,2
6,abuse,36
6,execution,33
6,jackass,18
6,lesbian,10
6,whiz,11
6,torture,94
6,deposit,53
6,skanky,4
6,abortion,12
6,coloured,19
6,geezer,14
6,murderer,69
6,dildo,3
6,pistol,57
6,sniper,15
6,slime,15
6,motherfucking,63
6,cancer,40
6,sob,11
6,blackout,16
6,intercourse,12
6,blacks,20
6,nude,27
6,pansy,4
6,bugger,18
6,homo,5
6,hussy,3
6,spank,29
6,sexually,26
6,radical,30
6,prostitute,20
6,honk,5
6,shitter,2
6,urine,9
6,failure,75
6,crappy,13
6,chin,51
6,mafia,4
6,ethnic,11
6,penetration,5
6,boner,7
6,boom,36
6,spick,2
6,catholic,9
6,catholics,1
6,herpes,5
6,scrotum,3
6,protestant,10
6,fucker,36
6,republican,1
6,peck,12
6,fore,13
6,robber,10
6,playboy,3
6,foursome,3
6,fuckers,27
6,tit,19
6,molest,6
6,motherfucker,69
6,gangsta,3
6,lotion,5
6,flasher,3
6,panties,28
6,erection,9
6,sweetness,18
6,dive,52
6,piker,2
6,cocksucker,8
6,masturbating,3
6,lowlife,6
6,roach,3
6,headlights,7
6,hooker,14
6,chink,4
6,premature,33
6,crotch,5
6,arsehole,1
6,shithouse,6
6,addict,9
6,cum,7
6,poverty,34
6,taboo,10
6,pimped,1
6,shithead,7
6,cemetery,27
6,erect,8
6,bombers,30
6,pubic,9
6,palestinian,2
6,arab,4
6,bitchy,1
6,rump,5
6,fag,12
6,cunt,17
6,dammit,2
6,booby,20
6,tard,1
6,sexed,2
6,oral,22
6,bra,28
6,penis,29
6,hillbillies,1
6,jerkoff,1
6,executed,35
6,cocky,10
6,spunk,3
6,shat,3
6,brothel,5
6,cocaine,23
6,testicles,7
6,porno,19
6,bondage,3
6,fraud,16
6,diddle,15
6,gringo,7
6,raghead,1
6,whit,3
6,feces,2
6,snot,9
6,orgasm,3
6,damnation,5
6,rabbi,15
6,propaganda,25
6,jewish,2
6,aroused,6
6,fu,23
6,heterosexual,10
6,creamy,4
6,pud,1
6,shits,18
6,barf,3
6,horseshit,9
6,hustler,10
6,pimp,26
6,niggers,40
6,doo-doo,20
6,kinky,8
6,pussy,45
6,booty,10
6,fatso,1
6,nigga,18
6,pickaninny,1
6,addicts,5
6,satan,1
6,slant,2
6,scallywag,1
6,condom,4
6,assassin,31
6,cocksucking,5
6,nook,2
6,harem,2
6,cockfight,1
6,meth,5
6,gook,6
6,racial,8
6,dike,1
6,coolie,2
6,wank,2
6,pecker,11
6,weenie,12
6,jugs,4
6,whorehouse,10
6,hobo,2
6,crabs,6
6,nigger's,5
6,negro,10
6,doom,19
6,knockers,3
6,titties,9
6,wuss,4
6,nipple,7
6,dink,2
6,pussies,6
6,foreskin,3
6,transsexual,1
6,pros,10
6,vibrator,1
6,orgy,10
6,fetish,2
6,husky,6
6,dipstick,2
6,japanese,13
6,american,14
6,jap,1
6,stroking,2
6,alla,3
6,pansies,1
6,anal,5
6,tinkle,3
6,radicals,5
6,nymph,5
6,gyp,3
6,penthouse,9
6,assassination,21
6,puss,4
6,fairies,10
6,commie,7
6,orgies,4
6,buggered,7
6,honky,11
6,sadis,1
6,libido,4
6,shagging,5
6,titty,7
6,scag,4
6,uterus,4
6,poontang,3
6,rectum,2
6,nazi,4
6,german,3
6,looser,1
6,pussycat,12
6,jade,5
6,excrement,5
6,bestial,3
6,executioner,6
6,christian,4
6,triplex,1
6,shite,6
6,pisser,4
6,pooper,1
6,rapist,8
6,sonofabitch,1
6,dickhead,3
6,threesome,4
6,willie,4
6,pixie,9
6,reefer,3
6,backseat,6
6,vomit,11
6,dong,9
6,fungus,4
6,poo,7
6,smut,4
6,interracial,2
6,fellatio,1
6,incest,4
6,urinary,2
6,dipshit,2
6,henhouse,1
6,welcher,1
6,limey,4
6,masturbate,4
6,anus,2
6,ejaculation,4
6,gangbang,2
6,latin,1
6,hoes,2
6,cornhole,2
6,tittie,1
6,sodomy,1
6,tranny,1
6,butt-fuck,3
6,poop,9
6,dyke,2
6,sooty,4
6,swastika,1
6,arabs,3
6,pommy,1
6,quickie,2
6,wop,16
6,yankee,1
6,baptist,4
6,flange,1
6,goy,5
6,crapper,1
6,muff,5
6,bitchin,1
6,randy,2
6,jizz,2
6,perv,3
6,clit,5
6,trots,1
6,goyim,1
6,stringer,1
6,ribbed,2
6,fornicate,2
6,shitfaced,1
6,poon,1
6,boobies,1
6,nookie,3
6,blowjob,3
6,mormon,1
6,greaseball,2
6,dago,2
6,jigaboo,1
6,schlong,1
6,bi,11
6,rimming,1
6,ky,1
6,syphilis,1
6,jihad,1
6,enema,2
6,pooping,2
6,whop,1
6,molester,5
6,twat,3
6,beaner,1
6,african,1
6,pee-pee,1
6,spooge,1
6,penile,2
6,hijacker,1
6,moles,3
6,soviet,1
6,bi-sexual,1
6,sexpot,1
6,retard,2
6,cocksman,2
6,kink,1
6,sluts,1
6,gangbanger,2
6,fugly,1
6,fatass,1
6,felching,1
6,spunky,1
6,genital,1
6,peckerwood,1
6,playgirl,1
6,ejaculate,1
6,rigger,1
6,wetback,1
6,bohunk,2
6,tampon,2
6,jiggy,3
6,quim,1
6,niggard,1
6,hooters,1
6,dickless,1
score,bad word,number of appearance
7,damn,943
7,hell,1761
7,crack,163
7,dirty,417
7,shooting,267
7,toilet,69
7,laid,213
7,kill,2524
7,butt,63
7,hole,219
7,ass,422
7,stupid,582
7,fat,339
7,sick,641
7,dead,1190
7,funeral,86
7,die,936
7,fucked,166
7,fucking,1561
7,killing,356
7,naked,90
7,angry,222
7,killed,1571
7,shoot,812
