decade,score,bad word,number of appearance
1930,8,fight,2
decade,score,bad word,number of appearance
1940,0,devil,3
1940,0,stupid,3
1940,0,girls,1
1940,0,died,1
1940,0,fear,1
1940,0,laid,2
1940,0,black,3
1940,0,blow,2
1940,0,death,2
1940,0,fire,2
1940,0,dead,2
1940,0,fat,1
1940,0,queer,2
1940,0,torture,1
1940,0,fight,1
1940,0,angry,1
1940,0,buried,2
1940,0,kill,7
1940,0,dirty,1
1940,0,shoot,1
1940,0,cigarette,1
1940,0,bigger,1
1940,0,mad,1
1940,0,killed,2
1940,0,die,1
1940,0,tongue,1
1940,0,destroy,1
decade,score,bad word,number of appearance
1940,3,kid,1
1940,3,shoot,4
1940,3,black,2
1940,3,dead,3
1940,3,fat,1
1940,3,kill,1
1940,3,hole,1
1940,3,fight,1
1940,3,girls,1
1940,3,sick,3
1940,3,killed,1
decade,score,bad word,number of appearance
1940,4,cemetery,2
1940,4,die,9
1940,4,bigger,1
1940,4,died,5
1940,4,sick,8
1940,4,kills,1
1940,4,lies,1
1940,4,liquor,2
1940,4,girls,6
1940,4,church,4
1940,4,drunk,1
1940,4,babies,1
1940,4,death,10
1940,4,kill,12
1940,4,mad,7
1940,4,enemy,1
1940,4,drug,1
1940,4,laid,2
1940,4,dead,4
1940,4,colored,2
1940,4,pot,1
1940,4,blind,10
1940,4,disturbed,2
1940,4,fear,3
1940,4,kid,3
1940,4,failure,1
1940,4,nasty,1
1940,4,failed,1
1940,4,shoot,5
1940,4,shooting,1
1940,4,gun,6
1940,4,killing,2
1940,4,peck,2
1940,4,fat,2
1940,4,black,4
1940,4,fire,7
1940,4,fight,9
1940,4,killed,6
1940,4,knife,1
1940,4,firing,1
1940,4,dirty,2
1940,4,blow,2
1940,4,devil,2
1940,4,stupid,1
1940,4,spit,1
1940,4,desire,1
1940,4,dies,1
1940,4,swallow,1
1940,4,tongue,1
1940,4,queer,1
1940,4,drunken,1
1940,4,angry,1
1940,4,escort,1
1940,4,funeral,1
1940,4,whitey,1
decade,score,bad word,number of appearance
1940,5,lotion,10
1940,5,killing,6
1940,5,girls,6
1940,5,killed,43
1940,5,attack,2
1940,5,kill,46
1940,5,bigger,4
1940,5,hole,7
1940,5,murder,15
1940,5,murderer,6
1940,5,fire,18
1940,5,devil,26
1940,5,crimes,2
1940,5,crime,4
1940,5,fraud,1
1940,5,bombing,1
1940,5,period,4
1940,5,fat,7
1940,5,tongue,1
1940,5,killer,2
1940,5,crash,3
1940,5,death,13
1940,5,dirty,7
1940,5,weapon,2
1940,5,liberal,3
1940,5,criminal,4
1940,5,failed,2
1940,5,joint,1
1940,5,sick,14
1940,5,shoot,9
1940,5,aroused,2
1940,5,slant,1
1940,5,fight,23
1940,5,destroy,11
1940,5,burn,12
1940,5,desire,3
1940,5,dope,1
1940,5,fear,5
1940,5,gun,14
1940,5,breast,1
1940,5,dead,15
1940,5,blow,18
1940,5,sucker,2
1940,5,black,12
1940,5,die,8
1940,5,drunken,1
1940,5,demon,1
1940,5,stupid,6
1940,5,faith,5
1940,5,gross,1
1940,5,angry,3
1940,5,drug,2
1940,5,remains,1
1940,5,escort,2
1940,5,died,7
1940,5,whites,1
1940,5,laid,2
1940,5,women's,1
1940,5,blind,3
1940,5,lies,5
1940,5,refugee,1
1940,5,butt,2
1940,5,colored,1
1940,5,dumb,3
1940,5,conspiracy,2
1940,5,disease,1
1940,5,chin,2
1940,5,slave,7
1940,5,terror,5
1940,5,liquor,1
1940,5,firing,2
1940,5,knife,4
1940,5,amateur,2
1940,5,cocky,1
1940,5,hell,1
1940,5,enemy,4
1940,5,screw,1
1940,5,shooting,5
